mcc,category_rus
3774,"Отели, мотели, курорты"
7538,СТО общего назначения
7841,Видеопрокат
5039,Строительные материалы ? нигде более не классифицированные
9211,"Судебные выплаты, включая алименты и детскую поддержку"
9402,Почтовые услуги (только правительственные)
8031,Остеопаты
3007,"Авиалинии, авиакомпании"
3510,"Отели, мотели, курорты"
3629,"Отели, мотели, курорты"
3663,"Отели, мотели, курорты"
3795,"Отели, мотели, курорты"
3018,"Авиалинии, авиакомпании"
3796,"Отели, мотели, курорты"
9311,Налоговые платежи
5811,Поставщики провизии
4784,"Дорожный и мостовой сборы, пошлины"
8699,Членские организации ? нигде более не классифицированные
763,Сельскохозяйственные кооперативы
3245,"Авиалинии, авиакомпании"
3296,"Авиалинии, авиакомпании"
3619,"Отели, мотели, курорты"
4821,Услуги телеграфа
3161,"Авиалинии, авиакомпании"
5592,Продажа домов на колесах
3037,"Авиалинии, авиакомпании"
7542,Автомойки
7523,Парковки и гаражи
8071,Стоматологические и медицинские лаборатории
5967,Прямой маркетинг ? входящий телемаркетинг
3580,"Отели, мотели, курорты"
3247,"Авиалинии, авиакомпании"
3661,"Отели, мотели, курорты"
3823,"Отели, мотели, курорты"
4814,Телекоммуникационные услуги
7991,Туристические аттракционы и шоу
8641,"Гражданские, социальные и братские ассоциации"
5996,Плавательные бассейны ? продажа и снабжение
7535,Покраска автомобилей
3127,"Авиалинии, авиакомпании"
3528,"Отели, мотели, курорты"
7800,
5131,"Штучные товары, галантерея и другие текстильные товары"
5172,Нефть и нефтепродукты
7394,"Аренда оборудования и лизинговые услуги, аренда мебели, прокат инструментов"
5818,Цифровые товары - мультикатегория
3182,"Авиалинии, авиакомпании"
3006,"Авиалинии, авиакомпании"
3765,"Отели, мотели, курорты"
3084,"Авиалинии, авиакомпании"
3760,"Отели, мотели, курорты"
3658,"Отели, мотели, курорты"
5992,Флористика
8062,Больницы
3509,"Отели, мотели, курорты"
3634,"Отели, мотели, курорты"
3508,"Отели, мотели, курорты"
5598,Продажа снегоходов
3825,"Отели, мотели, курорты"
3706,"Отели, мотели, курорты"
3031,"Авиалинии, авиакомпании"
3033,"Авиалинии, авиакомпании"
5261,Садовые принадлежности (в том числе для ухода за газонами) в розницу
5211,Лесо- и строительный материал
6300,"Продажа страхования, гарантированное размещение, премии"
6211,Ценные бумаги ? Брокеры/Дилеры
5137,"Мужская, женская и детская спецодежда"
3174,"Авиалинии, авиакомпании"
3028,"Авиалинии, авиакомпании"
3581,"Отели, мотели, курорты"
3388,Агентства по аренде автомобилей
7298,Салоны красоты и здоровья
7296,"Сдача в аренду костюмов, униформы, простой одежды"
3660,"Отели, мотели, курорты"
3715,"Отели, мотели, курорты"
5937,Магазины репродукций и антиквариата
5734,Продажа компьютерного программного обеспечения
5714,"Ткани, обивочный материал, гардины и портьеры, жалюзи"
5983,"Горючее топливо ? уголь, мазут, сжиженная нефть, древесина"
6540,
5817,Цифровые товары - приложения (кроме игр)
7321,Потребительские кредитные агентства
5199,Товары недлительного пользования - нигде более не классифицированные
3075,"Авиалинии, авиакомпании"
3710,"Отели, мотели, курорты"
3256,"Авиалинии, авиакомпании"
3812,"Отели, мотели, курорты"
3520,"Отели, мотели, курорты"
3009,"Авиалинии, авиакомпании"
3564,"Отели, мотели, курорты"
3537,"Отели, мотели, курорты"
3507,"Отели, мотели, курорты"
3524,"Отели, мотели, курорты"
5813,"Бары, коктейль-бары, дискотеки, ночные клубы и таверны ? места продажи алкогольных напитков"
5451,Продажа молочных продуктов в розницу
8111,"Адвокаты, юридические услуги"
7379,Ремонт компьютеров
3042,"Авиалинии, авиакомпании"
3503,"Отели, мотели, курорты"
3799,"Отели, мотели, курорты"
3627,"Отели, мотели, курорты"
3595,"Отели, мотели, курорты"
5977,Магазины косметики
5699,Различные магазины одежды и аксессуаров
4789,Услуги пассажирских перевозок ? нигде более не классифицированные
5971,Галереи и художественные посредники
5065,Электрические части и оборудование
3001,"Авиалинии, авиакомпании"
7012,Тайм-шер
3657,"Отели, мотели, курорты"
3191,"Авиалинии, авиакомпании"
3807,"Отели, мотели, курорты"
7999,Услуги отдыха ? нигде более не классифицированные
5931,"Секонд-хенды, магазины б/у товаров, комиссионки"
5815,"Цифровые товары - аудиовизуальные медиа, включая книги, фильмы и музыку"
5044,"Офисное, фотографическое, фотокопировальное, и микрофильмирующее оборудование"
3655,"Отели, мотели, курорты"
9223,Платежи по залогам и облигациям
3366,Агентства по аренде автомобилей
3502,"Отели, мотели, курорты"
3644,"Отели, мотели, курорты"
3380,Агентства по аренде автомобилей
3223,"Авиалинии, авиакомпании"
3791,"Отели, мотели, курорты"
5691,Магазины мужской и женской одежды
5968,Прямой маркетинг ? Торговые точки подписки
5441,Кондитерские
5943,"Магазины офисных, школьных принадлежностей, канцтоваров"
5300,Оптовики
5013,Поставщики грузовиков и запчастей
5521,Продажа легковых и грузовых автомобилей (только подержанных)
7534,Шиномонтаж и вулканизация
3641,"Отели, мотели, курорты"
3029,"Авиалинии, авиакомпании"
3526,"Отели, мотели, курорты"
3662,"Отели, мотели, курорты"
3146,"Авиалинии, авиакомпании"
5499,Различные продовольственные магазины - нигде более не классифицированные
5047,Стоматологичееское/ лабороторное/ медицинское/ офтальмологическое стацоинарное оборудование и устройства
7829,Производство фото/видео
3690,"Отели, мотели, курорты"
3441,Агентства по аренде автомобилей
3826,"Отели, мотели, курорты"
3613,"Отели, мотели, курорты"
3701,"Отели, мотели, курорты"
3355,Агентства по аренде автомобилей
8049,Ортопеды
9405,Внутриправительственные закупки - только правительственные
3687,"Отели, мотели, курорты"
3516,"Отели, мотели, курорты"
3583,"Отели, мотели, курорты"
3015,"Авиалинии, авиакомпании"
7513,Прокат аксессуаров для трэйлеров и грузовиков.
3144,"Авиалинии, авиакомпании"
3298,"Авиалинии, авиакомпании"
4816,Компьютерная сеть / информационные услуги
7273,Знакомства
8042,"Оптометристы, офтальмологи"
5139,Спец-обувь
7333,"Коммерческое искусство, графика, фотография"
3813,"Отели, мотели, курорты"
3393,Агентства по аренде автомобилей
7211,Услуги прачечной - семейные и коммерческие
3798,"Отели, мотели, курорты"
3514,"Отели, мотели, курорты"
5921,Магазины с продажей спиртных напитков навынос
5947,"Магазины открыток, подарков, новинок и сувениров"
8099,"Медицинские работники, медицинские услуги ? нигде более не классифицированные"
5948,"Магазины кожаных изделий, дорожных принадлежностей"
3389,Агентства по аренде автомобилей
3008,"Авиалинии, авиакомпании"
3057,"Авиалинии, авиакомпании"
3751,"Отели, мотели, курорты"
5950,Магазины хрусталя и изделий из стекла
5094,"Драгоценные камни и металлы, часы и ювелирные изделия"
5940,Веломагазины ? продажа и обслуживание
4457,Аренда и наем суден
3612,"Отели, мотели, курорты"
3785,"Отели, мотели, курорты"
3667,"Отели, мотели, курорты"
3364,Агентства по аренде автомобилей
3727,"Отели, мотели, курорты"
3551,"Отели, мотели, курорты"
7997,"Клубы ? загородные клубы, членство (отдых, спорт), частные поля для гольфа"
5462,Булочные
5072,Оборудование и сопутствующие материалы для технического обеспечения
7216,Химчистка
3684,"Отели, мотели, курорты"
3056,"Авиалинии, авиакомпании"
3767,"Отели, мотели, курорты"
